idcontrato;nAnuncio;tipoprocedimento;objectoContrato;dataPublicacao;dataCelebracaoContrato;precoContratual;prazoExecucao;NIPC_entidade_comunicante;entidade_comunicante;fundamentacao
10625573;;Ao abrigo de acordo-quadro (art.º 258.º);AQUISIÇÃO DE MATERIAIS DE INSTRUMENTAÇÃO (MEDIDORES DE CAUDAL) PARA A ÁGUAS DO NORTE, S.A.;20/03/2024;07/03/2024;2562,05;30;513606084;Águas do Norte, S. A.;Artigo 258.º do Código dos Contratos Públicos
10625576;;Ajuste Direto Regime Geral;Aquisição de serviços de transportadora até 31 de dezembro de 2024;20/03/2024;11/03/2024;12500;306;600082490;Autoridade Nacional de Emergência e Proteção Civil;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625577;;Ajuste Direto Regime Geral;CONTRATAÇÃO DE SERVIÇOS DE CÓPIA E IMPRESSÃO, EM REGIME DE OUTSOURCING_MARÇO A AGOSTO_2024;20/03/2024;15/03/2024;91460,28;184;600072525;Direção-Geral da Administração da Justiça;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625584;966/2024;Concurso público;Aquisição de serviços de Seguro de Acidentes de Trabalho;20/03/2024;12/03/2024;708395,62;730;505187531;Município de Cascais;Artigo 20.º, n.º 1, alínea a) do Código dos Contratos Públicos
10625589;;Ajuste Direto Regime Geral;Aquisição de Serviços de Gestão de Frota Online para as Viaturas da Junta de Freguesia por 36 meses;20/03/2024;19/03/2024;6317,64;1095;510840590;Freguesia de Santa Maria, São Pedro e Matacães;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625658;;Consulta Prévia;Aquisição de prótese cosmética de alta definição;20/03/2024;20/03/2024;15157;275;508080142;Centro Hospitalar Universitário Lisboa Central, E. P. E.;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625661;;Consulta Prévia;2524000140 - MP RVCC Profissional Ótica Ocular;20/03/2024;07/03/2024;4504;30;501390642;CASA PIA DE LISBOA, I.P.      ;Artigo 20.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625694;;Ajuste Direto Regime Geral;AD 08/24 - Aquisição de sacos de resíduos urbanos e de reciclagem;20/03/2024;18/03/2024;5760;15;506848957;Município de Gondomar;Artigo 20.º, n.º 1, alínea d) do Código dos Contratos Públicos
10625699;;Ajuste Direto Regime Geral;92.1120.2024 Aquisição de Material de Consumo Clínico;20/03/2024;17/01/2024;684,8;60;510745997;Unidade Local de Saúde do Algarve, E. P. E.;Artigo 24.º, n.º 1, alínea c) do Código dos Contratos Públicos
10625705;19620/2023;Concurso público;Locação, transporte e instalação de cinco módulos pré-fabricados para a EB 2,3 Poeta Emiliano da Costa em Estoi;20/03/2024;13/03/2024;47544,1;730;506579425;Município de Faro;Artigo 20.º, n.º 1, alínea b) do Código dos Contratos Públicos
10625724;;Ajuste Direto Regime Geral;BD 176 - Espetáculo 2.ª Agenda 2024 - Escola de Dança de Rita Assis - Teatro Virgínia;20/03/2024;19/03/2024;1626,79;0;506608972;Município de Torres Novas;Artigo 24.º, n.º 1, alínea e), subalínea iii) do Código dos Contratos Públicos
